OBJECT_NAME	job_name
T6R27C	EVT_C
GRA702	CRED_B
REF_PREUVES	TYP_PRVE
OPENPF	CRED_SOFINCO_PLAN
T1R10	PERSON_PHSQ_LIEN_JUR
IARFKA50	DVIPRJPRP_ASSU_C
STATSAFROID	STAT_TELPHNIE_SECRS
T3R14C	PERSON_SEGM_CIAL
IARFKA78	ECD_ASSU_IARD_H
PARTEL	TEL
COCLICO_SCOR	INDIC_COCLICO_PART_A
BSN_UNVRS_DE_BSN	BSN_UNVRS_DE_BSN
INTREL	NOTE_MIRE
FDEPOE	EPRGN_BQR_E
ELCAFF	AFFACTURAGE
IARFKA77	ASSU_HABTN_MENS_C
UNICA_2B	FLX_EVT_DE_VIE
IARFKA10	ASSU_IARD_MENS
PARTEL	PERSON_COORD_B
PERPHY	PERSON_PHSQ_CPCT_JUR
DTWHES05	EPRGN_SALRL_B
REPRES	RPRSTN
T1R10	PERSON_PERSON_C
GRCO_TIERS	PART_SEGM_NOTATN_BALE_MENS
T1R08P	LIEN_ENTRE_ECD_AB
T1R09	EST_CLI_POUR
BACTASOF	ECHCIER_CRED_SOFINCO
C3RE02	ELT_PATRIM_ETS_CONC
PROFILSHEBDO	PRFL_MABQE_HEBDO
GRCO_GP_RISQUE	GRP_RISQ_NIV_RISQ_MENS
NOTEPA	PART_NOTE_LUC
C816ACT	COVENANT_B
PAKPPA	CRED_SOFINCO_B
CERPAR	PART_CMPS_CRCL_COM_A
DGXG33	MSG_TYP
PDI0VU12	VAL_LIQUIDATIVE_PE
GRA002	PAYEUR_EXT
PARTEL	PART_COORD_B
STATSAFROID	STAT_TELPHNIE_AVI_CCM
GRA018	EVT_PRET
T1R35	PART_EDC_C
SIPAEC	SITUA_PARTC_ECD
C1RE70	PART_QUALIF_MIF_B
HICAET	ETS_HISTO_CA
ENTREP	ENTR
MISE_EN_MRCH	MISE_EN_MRCH
COCLICO_SEGM	INDIC_COCLICO_PART_B
ESPBDBDA	A_BDF_MENS_B
TIMTBA04	MATRL_CB
GRA006	RET_ECHCE
COCLICO_NUMER	IND_COCLICO_CTR_DETENU_C
GRC813	ACTN_CRED_COMPLEXE
COCLICO_NUMER	IND_COCLICO_EDC_DETENU_C
T1R31	ETS_CMPS_ENTR
COCL_EDP_HRS_CR	ELT_PATRIM_HORS_CR_CONSO
C815ACT	CTR_CADRE_CTR_PRET_B
AYDLEP	AGREGAT_LEP
COCL_AF_INDIC_CLI	AFFECT_INDIC_CLI_PART
ELCPDF	EPRGN_RTRTE_COLCTI
PROFILSQUOTD	PRFL_MABQE_QUOTD
GRCO_CREANCE	CREANC_EXPOSE_MENS
TQUAEX	QUALIF_MIF
ELCOCPTE	ECD_CPTE_A
COCL_AF_SEGM	AFFECT_SEGM_INTRL
DGXG48	PROPOS_CIALE
PARTEN	PART
ICNTRA	ASSU_IARD_QUOTD
EXCFLUTI	OPERN_CTR_TITR
CMPDEC	ECD_DCVT_CAC
UNIQU1	ECD_ABONNEMT
IARFKA1P	ECD_ASSU_IARD_E
OPPORT	OPPORT
INFICA	QUALF_FIDL_CR_CLI_CIAL
GRCO_GP_RISQUE	GRP_RISQ_MENS
SIDODS	DMND_SIGNER
COCLICO_SCOR	IND_COCLICO_EDC_DETENU_A
DGCZ28	CLI_CIAL_BLOC_NOTE_RISQ
BRUIK603	EPRGN_BQR_FEUILT
STATSAFROID	STAT_TELPHNIE_FVERT
PRECON	PRECO_BATCH
DOFISC	DONNEE_FISC
OFR_MRCH	OFR_MRCH
ENTCAM	STRUCT
RELPAR	PART_ELT_CONSTI_DOCU_A
OPTN_GRP_CHOIX	OPTN_GRP_CHOIX
C817ACT	ELT_COVENANT_B
ADREML	CNL_EMAIL
GRCO_CREANCE	CREANC_EXPOSE_BALE_MENS
GRA220	CNVNTN_PRSCRPTN
PROD_CIAL_PROD_CIAL	PROD_CIAL_PROD_CIAL
PREUVE_CLIENT	PRVE_CLI_ORIG
